"printer","port","server","vmctxprn","winprn"
"101admxr500","172.23.108.19","NOCONNECTION",,
"101admhp004","172.23.108.18","NOCONNECTION",,
"101admhp003","172.23.108.17","NOCONNECTION",,
"101admhp002","172.23.108.16","NOCONNECTION",,
"101admhp001","172.23.108.15","NOCONNECTION",,
"209orthp509","172.6.45.177","NOCONNECTION",,
"105crdhp506","172.30.42.20","NOCONNECTION",,
"214hc1xr502","172.25.106.152","NOCONNECTION",,
"104LDGXR501","172.20.120.179","NOCONNECTION",,
"104LDRXR502","172.20.120.176","NOCONNECTION",,
"104LDRXR501","172.20.120.177","NOCONNECTION",,
"MCS1C-LDMGR","172.20.120.172","vmctxprn",,
"l10medhp002","192.168.1.220","NOCONNECTION",,
"System.Object[]","172.25.64.153","both print servers","System.Object[]","MCS4D-P72E"
"NGPG-NEUROPSY-C","172.19.68.80","both print servers","NGPG-NEUROPSY-C","NGPG-Neuropsy-C"
"NGPG-NEUROPSY-B","172.19.68.84","both print servers","NGPG-NEUROPSY-B","NGPG-NEUROPSY-B"
"204plchp001","172.20.4.93","NOCONNECTION",,
"SPD-EQUIP-P7AE","172.20.4.162","both print servers","SPD-EQUIP-P7AE","SPD-EQUIP-P7AE"
"System.Object[]","172.20.4.164","vmctxprn",,
"ONC-RES-GAIN-B","172.19.68.153","both print servers","ONC-RES-GAIN-B","ONC-RES-GAIN-B"
"RX-P874","172.20.4.153","both print servers","RX-P874","RX-P874"
"MCSGE-PHM-A","172.20.4.158","both print servers","MCSGE-PHM-A","MCSGE-PHM-A"
"204OCRHP002","172.19.68.155","vmctxprn",,
"204OCRHP001","172.19.68.173","both print servers","204OCRHP001","204OCRHP001"
"241thchp501","172.19.69.152","NOCONNECTION",,
"102ivtxr500","172.20.7.242","NOCONNECTION",,
"MCSGD-MRC-C","172.20.5.223","winprn",,
"MCS1D-RAD-SPEC-P897","172.20.6.181","both print servers","MCS1D-RAD-SPEC-P897","MCS1D-RAD-SPEC-P897"
"102EMSXR513","172.20.6.173","NOCONNECTION",,
"102irdhp500","172.20.6.188","NOCONNECTION",,
"224NGPHP010","172.29.28.204","NOCONNECTION",,
"104REGXR501","1.1.1.1","NOCONNECTION",,
"111BORZP106","1.1.1.1","NOCONNECTION",,
"L01SRGSV005","1.1.1.1","NOCONNECTION",,
"102IRDZP701","1.1.1.1","NOCONNECTION",,
"102IRDZP702","1.1.1.1","NOCONNECTION",,
"111BORHP503","1.1.1.1","NOCONNECTION",,
